Column Name,Name,Type,Tier,Examples,Description
ogc_fid,Object ID,serial primary key,standard,"",""
geoid,FIPS Code,text,standard,"","FIPS code (state + county FIPS codes)"
sourceagent,Source Agent,text,standard,"",""
parcelnumb,Parcel ID,text,standard,"02004940, 001-020-4624-001","The assessor's primary parcel identification number or code."
parcelnumb_no_formatting,Parcel ID without Formatting,text,standard,"02004940, 0010204624001","The primary parcel identification number with spaces and formatting characters removed."
alt_parcelnumb1,First Alternative Parcel ID,text,standard,"02004940, 001-020-4624-001","An assessor-provided additional or alternative parcel identification number. If there is a state provided parcel identification number, it will be in this first alternative by convention."
alt_parcelnumb2,Second Alternative Parcel ID,text,standard,"02004940, 001-020-4624-001","An assessor-provided additional or alternative parcel identification number."
alt_parcelnumb3,Third Alternative Parcel ID,text,standard,"02004940, 001-020-4624-001","An assessor-provided additional or alternative parcel identification number."
usecode,Parcel Use Code,text,standard,"104","Varies by governing municipality"
usedesc,Parcel Use Description,text,standard,"Residential","Varies by governing municipality"
zoning,Zoning Code,text,standard,"R-1","Varies by governing municipality"
zoning_description,Zoning Description,text,standard,"Residential","Varies by governing municipality"
struct,Structure on Parcel,boolean,standard,"",""
multistruct,Multiple Structures on Parcel,boolean,standard,"",""
structno,Number of Structures on Parcel,integer,standard,"",""
yearbuilt,Structure Year Built,integer,standard,"",""
numstories,Number of Stories,double precision,standard,"",""
numunits,Number of Units,integer,standard,"",""
structstyle,Structure Style,text,standard,"",""
parvaltype,Parcel Value Type,text,standard,"Appraised, Assessed, Taxable, Market, Market Value","The type of value reported in the parcel value fields"
improvval,Improvement Value,double precision,standard,"",""
landval,Land Value,double precision,standard,"",""
parval,Total Parcel Value,double precision,standard,"",""
agval,Agricultural Value,double precision,standard,"",""
homestead_exemption,Homestead Exemption,text,premium,"","An assessor-provided attribute indicating if the parcel has any tax exemption due to homestead status."
saleprice,Last Sale Price,double precision,standard,"",""
saledate,Last Sale Date,date,standard,"",""
taxamt,Annual Tax Bill,double precision,standard,"",""
taxyear,Tax Year,text,standard,"","An assessor-provided attribute indicating the tax year the assessor data applies to."
owntype,Owner Type,text,standard,"",""
owner,Owner Name,text,standard,"",""
ownfrst,Owner First Name,text,standard,"",""
ownlast,Owner Last Name,text,standard,"",""
owner2,Second Owner Name,text,standard,"",""
owner3,Third Owner Name,text,standard,"",""
owner4,Fourth Owner Name,text,standard,"",""
subsurfown,Subsurface Owner,text,standard,"",""
subowntype,Subsurface Owner Type,text,standard,"",""
mailadd,Mailing Address,text,standard,"","This is the address where the tax and other assessor's communications are sent. It is often thought of as the owner's mailing address. It is often the same address as the parcel physical street address, but very commonly it is a different address than the parcel address itself."
mail_address2,Mailing Address Second Line,text,standard,"",""
careof,Mailing Address Care Of,text,standard,"",""
mail_addno,Mailing Address Street Number,text,standard,"402",""
mail_addpref,Mailing Address Street Prefix,text,standard,"S",""
mail_addstr,Mailing Address Street Name,text,standard,"FOURTH",""
mail_addsttyp,Mailing Address Street Type,text,standard,"AVE",""
